,id,host_response_rate,accommodates,bathrooms,minimum_nights,availability_365,number_of_reviews,review_scores_rating,price,security_deposit,TV,Internet,Wifi,Heating,Air Conditioning,Cooking,Free Parking,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,bed_type_Airbed,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60,prpt_Apartment,prpt_Bed and breakfast,prpt_Boutique hotel,prpt_Condominium,prpt_Guest suite,prpt_House,prpt_Loft,prpt_Serviced apartment,prpt_Townhouse,prpt_others,distance_ts,price_label,rating_label,price_rating_label,group_label,predict_label
457,278631,100.0,2,1,30,82,7,90.0,250.0,300.0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.085160407302564,0,1,01,1,1
458,279093,100.0,2,1,14,362,2,100.0,200.0,500.0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.721476417942783,0,0,00,0,0
466,284208,90.0,2,1,4,364,36,89.0,65.0,200.0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.516516805388083,1,1,11,3,3
470,287417,67.0,16,3,2,3,32,83.0,300.0,175.0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10.219951713553954,0,1,01,1,1
478,291764,100.0,1,1,30,364,42,81.0,65.0,300.0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.575032072515036,1,1,11,3,3
487,296844,100.0,2,1,3,0,24,90.0,30.0,150.0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.329098929267848,1,1,11,3,3
490,298759,100.0,2,1,2,338,30,89.0,52.0,100.0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.703894772747992,1,1,11,3,3
496,302280,76.0,9,1,30,181,6,70.0,250.0,500.0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.251035205478469,0,1,01,1,0
497,302309,76.0,9,1,30,314,2,100.0,350.0,500.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.201963559517259,0,0,00,0,0
498,303264,76.0,10,1,30,271,7,90.0,350.0,500.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.045578961816701,0,1,01,1,1
501,305245,76.0,9,1,30,231,9,90.0,350.0,500.0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.188443914092662,0,1,01,1,0
503,310272,100.0,2,1,1,352,48,88.0,59.0,0.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17.021590585296632,1,1,11,3,3
526,335797,94.0,6,1,3,327,60,82.0,65.0,0.0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,14.054232532533481,1,1,11,3,0
527,335819,94.0,6,1,3,334,48,80.0,65.0,0.0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13.88796258624825,1,1,11,3,0
533,347865,100.0,4,1,1,341,257,87.0,189.0,200.0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.1796092173125965,0,1,01,1,1
554,387735,100.0,6,1,2,274,124,90.0,189.0,300.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.4867734695398998,0,1,01,1,1
555,391948,0.0,4,2,1,364,8,88.0,45.0,175.0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,14.235007066471804,1,1,11,3,3
569,405025,100.0,5,1,1,305,42,100.0,215.0,100.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.350689209153753,0,0,00,0,1
573,409262,90.0,5,1,29,365,23,100.0,300.0,2000.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.11159454614142,0,0,00,0,0
585,419792,100.0,4,1,7,9,3,100.0,200.0,500.0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4.54366100121857,0,0,00,0,0
598,443646,75.0,5,2,14,55,38,91.0,395.0,1000.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.487718900196895,0,1,01,1,1
600,447840,100.0,2,1,2,0,5,80.0,299.0,100.0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.521221159083762,0,1,01,1,0
601,448048,100.0,2,1,5,365,29,89.0,69.0,0.0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.993058647757339,1,1,11,3,3
602,448049,100.0,2,1,7,365,55,83.0,69.0,0.0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7.770360156793213,1,1,11,3,3
611,455734,100.0,3,1,2,265,109,90.0,50.0,0.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.301465885120873,1,1,11,3,3
622,464369,100.0,4,1,10,310,8,100.0,250.0,750.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.439285659496574,0,0,00,0,1
647,484297,100.0,10,4,4,0,10,100.0,350.0,1000.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8.335300590981078,0,0,00,0,0
654,489924,100.0,2,1,2,0,28,90.0,50.0,200.0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.801549600080424,1,1,11,3,3
666,500845,100.0,3,1,4,347,155,90.0,220.0,100.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3.5916137626686546,0,1,01,1,1
678,507393,100.0,1,1,2,310,44,90.0,49.0,142.0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.764205328352944,1,1,11,3,3
683,512775,100.0,10,2,2,282,171,89.0,350.0,300.0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.091642611256353,0,1,01,1,1
693,523123,100.0,6,2,5,220,19,100.0,375.0,500.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10.94047613808968,0,0,00,0,1
695,525388,100.0,1,1,7,365,19,100.0,200.0,250.0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.03528490796809,0,0,00,0,0
697,525741,70.0,5,1,2,71,123,91.0,223.0,400.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.127797370056786,0,1,01,1,1
699,528485,100.0,1,1,7,147,4,100.0,59.0,400.0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.868038446353225,1,0,10,2,2
700,530247,67.0,5,1,4,0,2,100.0,250.0,300.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.7564297834982674,0,0,00,0,0
703,530632,50.0,5,2,5,309,2,100.0,275.0,250.0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,10.16706955186774,0,0,00,0,0
721,542203,100.0,3,1,3,85,6,87.0,195.0,300.0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.5559052766261441,0,1,01,1,0
726,550777,100.0,2,1,3,350,22,91.0,210.0,200.0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.425327368374795,0,1,01,1,1
